IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.15,80.1,8.0,Tidak Aktif,Rendah,L,Tidak,Tidak
3.44,84.4,10.2,Aktif,Menengah,L,Ya,Ya
3.15,69.9,17.8,Tidak Aktif,Menengah,L,Tidak,Tidak
3.36,,7.3,Aktif,Menengah,L,Tidak,Ya
3.08,90.0,17.1,Aktif,Menengah,L,Tidak,Ya
3.18,86.6,5.3,Aktif,Menengah,P,Tidak,Ya
3.33,88.7,12.6,Aktif,Tinggi,P,Tidak,Ya
2.39,85.6,14.8,Tidak Aktif,Menengah,P,Tidak,Tidak
2.91,100.0,31.1,Tidak Aktif,Rendah,L,Tidak,Ya
2.84,81.0,4.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.76,78.3,24.3,Tidak Aktif,Menengah,P,Ya,Ya
2.93,73.0,15.0,Aktif,Rendah,L,Ya,Tidak
3.72,69.6,16.9,Aktif,Menengah,L,Ya,Ya
2.66,67.1,14.8,Tidak Aktif,Rendah,P,Ya,Ya
3.49,71.3,17.1,Aktif,Rendah,P,Ya,Tidak
2.29,81.2,12.9,Tidak Aktif,Menengah,L,Tidak,Tidak
2.9,86.0,24.2,Aktif,Rendah,P,Ya,Ya
3.12,82.6,10.8,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.31,72.8,21.9,Tidak Aktif,Tinggi,P,Tidak,Ya
3.37,92.8,9.5,Aktif,Menengah,L,Tidak,Ya
3.41,90.9,13.6,Aktif,Menengah,L,Tidak,Tidak
2.89,80.1,6.5,Tidak Aktif,Menengah,P,Tidak,Ya
2.84,74.2,17.2,Aktif,Tinggi,L,Tidak,Ya
3.44,88.6,24.1,Tidak Aktif,Menengah,P,Ya,Tidak
2.96,84.3,13.5,Tidak Aktif,Rendah,L,Tidak,Tidak
2.48,64.6,12.6,Aktif,Menengah,P,Tidak,Tidak
2.54,81.2,6.2,Tidak Aktif,Menengah,P,Tidak,Tidak
2.64,85.1,12.4,Tidak Aktif,Rendah,P,Tidak,Tidak
3.27,71.2,2.9,Tidak Aktif,Menengah,P,Tidak,Ya
3.11,84.3,7.6,Tidak Aktif,Rendah,L,Tidak,Ya
3.36,64.5,15.6,Aktif,Tinggi,P,Tidak,Ya
,98.0,23.2,Aktif,Rendah,L,Ya,Ya
3.12,97.0,33.7,Tidak Aktif,Rendah,P,Tidak,Tidak
3.33,,9.9,Tidak Aktif,Rendah,P,Ya,Ya
2.91,86.4,24.0,Aktif,Rendah,P,Ya,Ya
3.26,53.1,15.7,Aktif,Rendah,P,Ya,Ya
2.75,68.1,12.9,Tidak Aktif,Rendah,P,Tidak,Tidak
2.89,78.5,17.0,Tidak Aktif,Rendah,L,Tidak,Ya
2.88,69.1,14.4,Aktif,Rendah,P,Tidak,Ya
2.51,90.6,14.8,Tidak Aktif,Menengah,P,Tidak,Ya
3.27,100.0,11.1,Tidak Aktif,Menengah,L,Tidak,Tidak
2.84,67.9,4.2,Tidak Aktif,Menengah,P,Tidak,Tidak
3.06,72.0,3.2,Aktif,Menengah,L,Ya,Tidak
3.27,84.8,18.6,Aktif,Rendah,L,Tidak,Ya
3.25,100.0,12.1,Tidak Aktif,,L,Tidak,Ya
3.35,67.3,9.8,Tidak Aktif,Rendah,L,Ya,Ya
3.01,85.0,14.1,Tidak Aktif,Tinggi,P,Tidak,Ya
2.86,100.0,19.6,Tidak Aktif,Tinggi,P,Ya,Ya
3.01,62.2,15.3,Tidak Aktif,Tinggi,P,Ya,Tidak
2.29,66.6,9.4,Tidak Aktif,Menengah,P,Tidak,Ya
2.4,76.9,22.6,Tidak Aktif,Menengah,L,Tidak,Tidak
2.45,75.8,25.1,Tidak Aktif,Menengah,L,Tidak,Ya
2.6,91.8,17.5,Tidak Aktif,Tinggi,L,Ya,Ya
3.23,84.9,20.8,Aktif,Tinggi,P,Tidak,Ya
2.64,60.7,22.7,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.88,88.2,21.9,Tidak Aktif,Tinggi,P,Tidak,Ya
3.63,75.1,18.3,Aktif,Menengah,P,Ya,Ya
2.89,97.3,18.2,Tidak Aktif,Tinggi,P,Tidak,Ya
3.38,74.5,17.6,Aktif,Tinggi,P,Ya,Ya
2.63,74.4,6.3,Aktif,Menengah,L,Tidak,Tidak
2.96,,18.9,Tidak Aktif,Tinggi,P,Tidak,Ya
2.62,91.2,4.5,Aktif,,P,Tidak,Ya
2.9,87.4,8.4,Tidak Aktif,Tinggi,P,Tidak,Ya
3.43,61.8,23.1,Tidak Aktif,Tinggi,P,Tidak,Ya
2.27,88.5,19.9,Tidak Aktif,Rendah,P,Ya,Ya
3.25,69.6,24.4,Aktif,Menengah,P,Ya,Tidak
3.16,84.8,12.1,Aktif,Rendah,L,Tidak,Ya
2.78,64.9,5.9,Aktif,Tinggi,P,Tidak,Tidak
2.4,87.4,12.3,Aktif,Tinggi,P,Ya,Ya
3.08,72.3,14.7,Tidak Aktif,Menengah,L,Tidak,Ya
,66.6,14.6,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.15,90.6,21.9,Aktif,Rendah,L,Ya,Ya
3.06,,11.5,Tidak Aktif,Rendah,P,Ya,Tidak
3.77,74.6,16.5,Tidak Aktif,Menengah,L,Tidak,Tidak
2.94,99.4,7.1,Aktif,Rendah,L,Tidak,Ya
2.59,76.7,17.2,Aktif,Menengah,P,Tidak,Tidak
3.13,82.4,14.0,Tidak Aktif,Rendah,L,Tidak,Ya
3.15,85.2,8.8,Tidak Aktif,Menengah,L,Ya,Tidak
3.66,74.6,12.3,Aktif,Menengah,L,Tidak,Ya
,87.7,12.7,Tidak Aktif,Tinggi,P,Tidak,Ya
3.21,75.6,12.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.71,77.1,26.4,Tidak Aktif,Tinggi,P,Ya,Ya
2.52,98.4,13.3,Aktif,Menengah,L,Tidak,Tidak
2.76,69.5,12.3,Aktif,Menengah,P,Ya,Tidak
2.63,53.0,0.0,Tidak Aktif,Menengah,L,Tidak,Tidak
2.87,100.0,7.7,Aktif,Menengah,P,Tidak,Tidak
2.43,100.0,12.2,Tidak Aktif,Rendah,L,Tidak,Ya
3.34,77.1,9.2,Tidak Aktif,Menengah,L,Tidak,Tidak
2.95,,23.7,Aktif,Rendah,L,Tidak,Tidak
2.39,78.3,12.8,Tidak Aktif,Menengah,P,Tidak,Ya
2.59,78.6,23.0,Tidak Aktif,Menengah,P,Ya,Ya
3.19,79.7,14.4,Tidak Aktif,Menengah,L,Tidak,Ya
3.43,68.6,14.3,Tidak Aktif,Tinggi,P,Ya,Ya
3.95,89.0,13.4,Tidak Aktif,Rendah,P,Ya,Ya
4.0,88.3,14.0,Tidak Aktif,Tinggi,L,Tidak,Ya
3.24,64.1,26.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.6,90.4,0.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.09,100.0,0.0,Tidak Aktif,Tinggi,L,Tidak,Ya
3.17,84.1,10.2,Aktif,Rendah,P,Ya,Ya
2.68,78.0,14.1,Aktif,Menengah,L,Ya,Ya
2.86,80.3,18.8,Aktif,Rendah,P,Ya,Tidak
2.77,89.4,17.3,Tidak Aktif,Tinggi,L,Tidak,Ya
2.99,61.2,,Tidak Aktif,Menengah,P,Tidak,Ya
3.53,84.0,21.1,Tidak Aktif,Rendah,L,Ya,Ya
3.12,77.3,21.2,Tidak Aktif,Tinggi,P,Tidak,Ya
2.98,100.0,15.3,Tidak Aktif,Rendah,P,Ya,Ya
2.58,79.9,20.7,Tidak Aktif,Menengah,L,Ya,Tidak
2.3,100.0,15.9,Aktif,Menengah,P,Tidak,Tidak
2.83,68.8,10.1,Tidak Aktif,Rendah,P,Tidak,Tidak
3.03,89.0,18.9,Tidak Aktif,Menengah,P,Tidak,Ya
3.85,85.8,14.8,Tidak Aktif,Tinggi,L,Ya,Ya
3.11,71.6,14.0,Aktif,Rendah,P,Tidak,Tidak
3.49,84.1,24.3,Tidak Aktif,Menengah,L,Ya,Ya
2.83,96.6,0.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.52,78.1,4.1,Tidak Aktif,Menengah,P,Tidak,Tidak
2.62,61.7,5.7,Tidak Aktif,Rendah,P,Tidak,Tidak
2.72,81.8,11.5,Tidak Aktif,Tinggi,P,Tidak,Ya
4.0,71.2,12.2,Tidak Aktif,Tinggi,L,Tidak,Ya
2.68,77.9,3.4,Tidak Aktif,Rendah,P,Tidak,Ya
3.43,81.0,7.1,Tidak Aktif,,P,Tidak,Tidak
2.64,61.5,8.0,Tidak Aktif,Menengah,L,Tidak,Ya
3.47,62.6,31.2,Aktif,Menengah,P,Ya,Tidak
3.22,87.8,26.6,Tidak Aktif,Menengah,L,Ya,Ya
2.98,75.7,11.1,Tidak Aktif,Rendah,L,Ya,Ya
3.03,51.2,11.5,Aktif,Rendah,P,Ya,Ya
,91.4,6.0,Tidak Aktif,Tinggi,P,Tidak,Ya
3.25,85.3,0.6,Tidak Aktif,Menengah,L,Tidak,Ya
2.85,73.4,13.2,Tidak Aktif,Tinggi,L,Tidak,Ya
2.5,66.2,7.0,Tidak Aktif,Menengah,L,Tidak,Tidak
2.47,92.0,13.4,Aktif,Tinggi,P,Ya,Tidak
3.13,86.2,2.8,Tidak Aktif,Rendah,L,Tidak,Ya
3.76,100.0,8.7,Aktif,Rendah,P,Ya,Ya
3.12,87.0,15.0,Tidak Aktif,Tinggi,P,Ya,Ya
3.0,86.7,16.6,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.18,80.0,16.9,Tidak Aktif,Menengah,P,Tidak,Ya
3.64,91.8,4.8,Aktif,Menengah,P,Ya,Ya
3.15,89.5,20.0,Aktif,Menengah,P,Tidak,Tidak
2.87,97.0,8.4,Tidak Aktif,Menengah,L,Tidak,Ya
3.55,75.7,18.4,Tidak Aktif,Rendah,L,Tidak,Ya
3.24,76.8,13.9,Tidak Aktif,Tinggi,L,Ya,Ya
3.74,76.3,4.4,Aktif,Rendah,P,Tidak,Tidak
3.13,91.5,11.8,Aktif,Menengah,P,Tidak,Ya
2.5,100.0,16.6,Tidak Aktif,Rendah,L,Ya,Tidak
2.43,76.5,18.3,Aktif,Rendah,L,Tidak,Tidak
3.79,76.9,13.0,Tidak Aktif,Menengah,P,Tidak,Tidak
3.83,85.8,24.7,Tidak Aktif,Menengah,L,Tidak,Ya
2.97,79.1,21.1,Aktif,Menengah,L,Ya,Ya
2.88,93.4,12.2,Tidak Aktif,Rendah,P,Tidak,Ya
3.71,55.0,19.3,Aktif,Tinggi,L,Ya,Ya
2.55,72.1,27.5,Tidak Aktif,Menengah,L,Tidak,Tidak
2.65,72.6,27.7,Tidak Aktif,Tinggi,L,Ya,Ya
3.34,54.2,5.4,Tidak Aktif,Rendah,L,Tidak,Ya
2.87,70.4,7.5,Aktif,Menengah,P,Tidak,Tidak
3.05,71.0,24.4,Tidak Aktif,,P,Tidak,Ya
2.98,79.6,6.6,Tidak Aktif,Menengah,P,Tidak,Ya
3.2,95.4,4.7,Aktif,Rendah,L,Tidak,Ya
3.68,79.1,10.6,Aktif,Rendah,P,Tidak,Ya
3.09,69.6,16.9,Aktif,Menengah,L,Tidak,Tidak
3.34,81.3,13.3,Tidak Aktif,Rendah,P,Ya,Ya
2.13,94.6,9.4,Tidak Aktif,Menengah,L,Ya,Ya
3.03,70.3,9.3,Tidak Aktif,Rendah,P,Tidak,Ya
2.67,71.1,9.0,Tidak Aktif,Rendah,L,Tidak,Tidak
2.5,88.7,7.8,Tidak Aktif,Menengah,L,Tidak,Tidak
2.65,79.3,30.0,Tidak Aktif,Menengah,P,Tidak,Tidak
2.9,89.8,16.1,Tidak Aktif,Menengah,L,Tidak,Tidak
3.46,81.8,20.2,Tidak Aktif,Menengah,L,Tidak,Ya
2.45,90.4,10.6,Aktif,Tinggi,P,Tidak,Tidak
3.06,69.6,12.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.83,81.9,9.0,Tidak Aktif,Menengah,L,Tidak,Ya
2.9,79.5,0.0,Aktif,,P,Ya,Ya
3.5,67.4,4.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.29,63.2,1.3,Aktif,Tinggi,P,Ya,Tidak
3.65,90.2,0.0,Tidak Aktif,Tinggi,P,Ya,Ya
2.98,77.8,5.6,Tidak Aktif,Rendah,P,Tidak,Tidak
2.74,69.7,23.3,Tidak Aktif,Menengah,P,Ya,Ya
2.95,80.8,13.7,Aktif,Menengah,P,Ya,Tidak
3.16,95.5,23.0,Aktif,Tinggi,P,Tidak,Ya
3.13,54.6,16.9,Aktif,Menengah,L,Ya,Ya
2.56,64.0,19.5,Aktif,Rendah,L,Tidak,Ya
3.09,70.9,7.7,Aktif,Menengah,L,Tidak,Ya
3.15,99.5,17.7,Aktif,Rendah,P,Ya,Tidak
4.0,85.4,19.1,Tidak Aktif,Tinggi,L,Ya,Ya
3.89,91.2,10.0,Aktif,,P,Tidak,Ya
2.67,68.3,17.9,Aktif,Menengah,P,Tidak,Ya
2.92,68.6,18.0,Tidak Aktif,Tinggi,P,Ya,Ya
2.39,87.4,10.2,Tidak Aktif,Menengah,L,Tidak,Ya
2.78,82.7,6.1,Tidak Aktif,Menengah,P,Tidak,Ya
3.19,88.6,5.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
,79.7,14.6,Tidak Aktif,Tinggi,L,Tidak,Ya
2.72,85.3,16.3,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.76,83.9,8.5,Tidak Aktif,Rendah,L,Tidak,Ya
2.08,91.3,14.2,Tidak Aktif,Menengah,P,Tidak,Tidak
2.98,91.7,,Tidak Aktif,Rendah,P,Tidak,Ya
2.57,62.6,18.3,Aktif,Tinggi,L,Tidak,Ya
2.81,55.0,24.9,Tidak Aktif,Menengah,L,Ya,Ya
2.66,94.0,22.9,Aktif,Menengah,L,Tidak,Ya
3.01,96.3,7.0,Tidak Aktif,Rendah,L,Ya,Tidak
2.26,69.8,25.8,Aktif,Menengah,P,Tidak,Tidak
2.39,59.7,10.3,Aktif,Menengah,L,Ya,Tidak
4.0,83.2,21.3,Aktif,Rendah,L,Ya,Ya
2.47,93.2,14.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.56,100.0,11.1,Aktif,Tinggi,P,Tidak,Ya
3.88,88.2,1.3,Tidak Aktif,Tinggi,P,Tidak,Ya
4.0,77.5,12.8,Tidak Aktif,Rendah,P,Ya,Ya
2.52,71.3,3.1,Aktif,Rendah,L,Tidak,Tidak
2.88,82.1,20.8,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.2,78.4,24.6,Aktif,Menengah,L,Tidak,Ya
3.83,69.8,8.4,Aktif,Menengah,P,Tidak,Ya
2.61,100.0,16.1,Tidak Aktif,Menengah,P,Tidak,Ya
2.94,100.0,8.9,Tidak Aktif,Rendah,P,Tidak,Ya
3.4,95.6,9.6,Aktif,Rendah,P,Tidak,Ya
3.25,70.9,19.4,Tidak Aktif,Menengah,P,Tidak,Tidak
2.88,92.3,13.7,Aktif,Rendah,L,Tidak,Tidak
2.99,89.7,26.2,Tidak Aktif,Rendah,P,Tidak,Ya
2.43,87.3,10.6,Tidak Aktif,Menengah,P,Ya,Tidak
2.94,97.0,21.0,Tidak Aktif,Tinggi,P,Tidak,Ya
2.93,89.6,14.7,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.15,90.9,19.6,Aktif,Menengah,L,Tidak,Ya
2.8,89.6,10.9,Tidak Aktif,Menengah,P,Tidak,Ya
3.26,86.1,13.7,Tidak Aktif,Menengah,L,Tidak,Tidak
3.51,60.6,13.2,Tidak Aktif,Menengah,L,Ya,Tidak
3.12,83.0,8.1,Aktif,Menengah,L,Ya,Tidak
3.21,75.3,18.6,Tidak Aktif,Menengah,P,Ya,Ya
3.07,66.6,18.6,Tidak Aktif,Menengah,L,Tidak,Tidak
3.05,100.0,18.2,Aktif,Tinggi,L,Ya,Ya
2.73,100.0,,Aktif,Tinggi,L,Tidak,Ya
3.19,98.3,24.1,Tidak Aktif,Rendah,P,Tidak,Ya
3.01,85.1,11.4,Tidak Aktif,Menengah,P,Tidak,Ya
3.99,98.2,16.6,Aktif,Rendah,L,Tidak,Ya
3.76,82.1,9.6,Tidak Aktif,Menengah,L,Ya,Ya
3.22,84.4,14.2,Tidak Aktif,Rendah,P,Ya,Tidak
2.71,,9.8,Tidak Aktif,Rendah,L,Tidak,Tidak
2.55,,25.3,Tidak Aktif,Tinggi,P,Ya,Tidak
3.59,82.7,16.5,Tidak Aktif,Menengah,L,Ya,Ya
3.17,66.4,12.5,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.27,81.4,22.4,Tidak Aktif,Rendah,L,Ya,Ya
2.26,81.0,0.0,Tidak Aktif,Rendah,P,Tidak,Tidak
3.47,100.0,0.0,Tidak Aktif,Menengah,L,Tidak,Tidak
3.25,92.7,19.6,Tidak Aktif,Rendah,P,Tidak,Ya
2.55,82.1,14.4,Tidak Aktif,Rendah,P,Tidak,Ya
2.84,85.0,15.8,Aktif,Tinggi,P,Tidak,Ya
3.17,82.5,4.7,Tidak Aktif,Rendah,L,Tidak,Ya
3.07,79.6,,Tidak Aktif,Rendah,L,Tidak,Tidak
2.92,69.0,28.0,Tidak Aktif,Menengah,P,Tidak,Ya
3.0,80.2,19.8,Tidak Aktif,Menengah,P,Tidak,Ya
2.94,73.0,15.2,Tidak Aktif,Menengah,L,Tidak,Tidak
3.12,67.0,10.9,Tidak Aktif,Menengah,L,Tidak,Ya
3.71,88.1,11.2,Tidak Aktif,Tinggi,L,Ya,Ya
1.9,86.7,0.0,Aktif,Rendah,P,Ya,Tidak
2.94,60.6,15.8,Aktif,Menengah,P,Tidak,Tidak
3.13,80.5,19.9,Aktif,Menengah,P,Tidak,Tidak
3.18,93.9,3.0,Aktif,Tinggi,P,Tidak,Ya
2.88,94.7,9.4,Tidak Aktif,Menengah,L,Tidak,Tidak
2.26,94.3,5.9,Tidak Aktif,Menengah,L,Tidak,Ya
3.2,82.5,7.2,Tidak Aktif,Rendah,L,Tidak,Ya
3.83,71.9,14.4,Aktif,Rendah,P,Ya,Ya
2.36,69.0,0.0,Tidak Aktif,Rendah,L,Tidak,Tidak
3.44,86.1,18.3,Aktif,Menengah,L,Ya,Tidak
2.9,86.6,19.3,Tidak Aktif,Rendah,L,Ya,Ya
3.02,97.4,12.2,Aktif,Menengah,L,Tidak,Tidak
2.58,95.2,0.0,Tidak Aktif,Rendah,P,Tidak,Ya
2.9,80.4,7.0,Aktif,Tinggi,L,Tidak,Ya
3.64,67.1,22.6,Tidak Aktif,Tinggi,L,Tidak,Ya
3.31,78.2,0.0,Tidak Aktif,Rendah,P,Tidak,Ya
3.83,84.6,11.6,Tidak Aktif,Rendah,L,Ya,Ya
3.58,79.6,5.7,Aktif,Rendah,L,Ya,Ya
3.25,75.1,19.6,Tidak Aktif,Tinggi,L,Ya,Tidak
3.83,85.0,9.3,Tidak Aktif,Rendah,P,Ya,Ya
3.25,76.0,16.8,Tidak Aktif,Menengah,L,Tidak,Ya
3.42,74.5,18.0,Tidak Aktif,Menengah,P,Tidak,Ya
2.92,85.7,26.9,Tidak Aktif,Tinggi,P,Tidak,Ya
3.08,,12.6,Aktif,Menengah,P,Tidak,Ya
2.74,84.9,16.6,Aktif,Menengah,L,Tidak,Ya
3.5,85.3,3.6,Aktif,Tinggi,P,Tidak,Ya
2.52,68.3,22.3,Aktif,Rendah,L,Tidak,Ya
3.4,76.2,8.7,Tidak Aktif,Tinggi,L,Ya,Ya
2.96,99.3,10.1,Tidak Aktif,Rendah,P,Tidak,Ya
3.58,68.1,13.8,Tidak Aktif,Menengah,L,Tidak,Ya
3.39,56.6,3.1,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.87,59.7,15.6,Tidak Aktif,Menengah,L,Ya,Tidak
3.38,82.3,,Tidak Aktif,Menengah,L,Ya,Ya
2.34,,16.1,Tidak Aktif,Rendah,L,Tidak,Tidak
3.02,80.6,2.9,Aktif,Menengah,P,Tidak,Ya
2.52,96.6,13.1,Tidak Aktif,Menengah,P,Ya,Ya
2.82,49.9,19.2,Tidak Aktif,Menengah,L,Tidak,Tidak
3.73,86.8,0.9,Aktif,Menengah,P,Tidak,Ya
3.34,100.0,6.5,Tidak Aktif,Menengah,L,Ya,Ya
2.74,68.5,,Tidak Aktif,Menengah,L,Tidak,Tidak
,77.4,15.9,Tidak Aktif,Rendah,L,Ya,Tidak
3.06,73.0,,Tidak Aktif,Menengah,L,Tidak,Ya
2.5,71.3,,Tidak Aktif,Rendah,L,Tidak,Ya
2.75,78.1,17.3,Aktif,Tinggi,L,Ya,Tidak
3.19,99.1,18.6,Aktif,Menengah,L,Tidak,Ya
3.57,100.0,33.0,Tidak Aktif,Rendah,P,Ya,Ya
3.32,78.0,12.5,Tidak Aktif,Menengah,L,Tidak,Tidak
2.02,100.0,8.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.19,82.4,17.0,Tidak Aktif,Rendah,L,Tidak,Ya
3.08,100.0,17.1,Tidak Aktif,Rendah,P,Tidak,Ya
3.24,80.9,10.3,Tidak Aktif,Rendah,L,Tidak,Ya
3.78,83.6,6.8,Aktif,Rendah,P,Ya,Ya
2.12,86.4,30.2,Aktif,Tinggi,L,Tidak,Tidak
2.78,100.0,16.3,Aktif,Tinggi,L,Tidak,Ya
3.32,92.2,8.9,Aktif,Rendah,P,Tidak,Tidak
2.34,73.5,20.4,Tidak Aktif,Menengah,L,Tidak,Tidak
3.71,93.6,13.2,Tidak Aktif,Rendah,L,Ya,Ya
3.22,77.7,12.2,Aktif,Menengah,L,Ya,Ya
3.43,76.1,17.9,Tidak Aktif,Tinggi,P,Tidak,Ya
2.79,92.9,5.0,Tidak Aktif,Menengah,P,Tidak,Ya
3.42,82.4,16.5,Aktif,Rendah,P,Ya,Ya
3.53,85.3,27.4,Aktif,Menengah,P,Tidak,Tidak
3.15,82.2,17.3,Aktif,Tinggi,L,Tidak,Ya
3.16,86.0,11.4,Tidak Aktif,Rendah,P,Ya,Tidak
3.17,87.1,10.5,Aktif,Rendah,L,Ya,Ya
2.66,58.8,11.1,Aktif,Rendah,P,Tidak,Tidak
2.98,90.0,12.2,Aktif,Menengah,L,Tidak,Ya
2.98,70.2,11.4,Tidak Aktif,Menengah,L,Ya,Tidak
3.22,64.7,20.4,Aktif,Tinggi,P,Tidak,Ya
3.5,81.3,1.9,Tidak Aktif,Tinggi,L,Tidak,Ya
2.57,83.0,20.0,Aktif,Tinggi,P,Tidak,Tidak
2.99,73.7,11.3,Tidak Aktif,Tinggi,L,Tidak,Tidak
3.72,92.0,16.6,Tidak Aktif,Rendah,P,Tidak,Ya
2.72,65.9,6.1,Tidak Aktif,Menengah,P,Tidak,Ya
2.68,77.1,23.3,Aktif,Rendah,L,Ya,Ya
3.14,75.0,,Tidak Aktif,Menengah,P,Tidak,Ya
3.43,81.4,20.7,Tidak Aktif,Tinggi,P,Ya,Ya
3.06,85.3,3.4,Aktif,Menengah,P,Tidak,Ya
,69.9,19.8,Aktif,Tinggi,L,Ya,Ya
3.44,90.7,16.8,Tidak Aktif,Menengah,P,Tidak,Ya
3.43,82.8,2.8,Tidak Aktif,Menengah,P,Ya,Ya
3.3,,13.8,Aktif,Menengah,L,Tidak,Ya
4.0,58.5,16.6,Aktif,Rendah,L,Ya,Ya
2.96,81.9,17.9,Tidak Aktif,Rendah,L,Tidak,Ya
2.15,79.3,15.2,Tidak Aktif,Menengah,P,Tidak,Ya
3.77,80.8,16.0,Tidak Aktif,Rendah,L,Ya,Ya
2.84,81.7,24.3,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.1,84.7,22.6,Tidak Aktif,Rendah,P,Tidak,Tidak
3.64,93.4,0.0,Aktif,Rendah,L,Ya,Ya
2.33,68.7,11.8,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.49,67.9,12.8,Tidak Aktif,Rendah,P,Tidak,Tidak
,68.9,,Aktif,Tinggi,L,Tidak,Tidak
2.69,85.5,14.7,Aktif,Menengah,P,Tidak,Ya
3.25,96.9,22.7,Tidak Aktif,Rendah,P,Ya,Ya
3.29,76.8,6.4,Tidak Aktif,Menengah,P,Tidak,Tidak
3.17,52.0,,Aktif,Menengah,L,Tidak,Ya
